,titulo,ubicacion,precio,Superficie,Habitaciones,Baños,Planta,Conservacion,Gastos de Comunidad,Amueblado,Balcon,Ascensor,Calefaccion,Garaje,Terraza,Trastero
263,Piso en venta en Ponteareas,Ponteareas,135000,100,3.0,2.0,Planta: 3ª,En buen estado,0,1,0,1,Central,0,0,1
264,Apartamento en venta en Avenida de Uruguai,Centro-Echegaray (Pontevedra Capital),200000,74,2.0,1.0,Planta: 1ª,En buen estado,0,1,0,1,Central,0,0,1
265,Piso en venta en Calle del Doctor Loureiro Crespo,A Seca-Os Salgueriños (Pontevedra Capital),150000,58,1.0,1.0,Planta: 2ª,En buen estado,0,1,0,1,Gas natural,1,0,0
266,Piso en venta en Caldas de Reis,Caldas de Reis (Casco Urbano),105000,70,3.0,1.0,Planta: 3ª,En buen estado,0,1,0,0,Gas individual,1,0,0
267,Piso en venta en Rúa Vigo,Sanxenxo,295000,130,2.0,2.0,Planta: Bajo,A estrenar,0,1,0,0,Eléctrica,0,1,1
268,"Piso en venta en Calle Paseo Do Louro, nº 2",O Porriño,118000,87,2.0,2.0,Planta: 1ª,En buen estado,Entre 60 y 80€,1,1,1,Eléctrica,1,1,0
269,Piso en venta en Avenida Vigo,Chapela (San Fausto). Municipio de Redondela,129000,64,2.0,1.0,Planta: 1ª,En buen estado,48.00 euros.,1,0,1,Eléctrica,0,0,0
270,"Piso en venta en Travesía de Vigo, cerca de Calle de Numancia",Fátima-Travesía de Vigo-San Xoán (Distrito Casco Urbano. Vigo),140000,82,3.0,2.0,Planta: 2ª,A reformar,45.00 euros.,0,0,1,Gas individual,0,0,1
271,Piso en venta en Calle de Martínez Padín,Tui,190000,100,2.0,2.0,Planta: 5ª,En buen estado,0,1,1,1,No tiene,1,1,0
272,"Piso en venta en Avenida de la Gran Vía, cerca de Calle de Zamora",O Castro (Distrito Casco Urbano. Vigo),490000,160,3.0,2.0,Planta: 8ª,En buen estado,Entre 40 y 60€,1,0,1,Gas natural,0,1,0
273,Piso en venta en Moraña,Moraña,99000,90,3.0,2.0,Planta: 1ª,En buen estado,0,1,0,1,Gas individual,1,0,0
