,titulo,ubicacion,precio,Superficie,Habitaciones,Baños,Planta,Conservacion,Gastos de Comunidad,Amueblado,Balcon,Ascensor,Calefaccion,Garaje,Terraza,Trastero
557,Piso en venta en Tui,Tui,120000,130.0,4.0,2.0,Planta: 1ª,En buen estado,0,0,1,0,Gas individual,0,0,1
558,"Piso en venta en Calle de Madrid, 18",Sanxenxo,360000,86.0,2.0,2.0,Planta: 3ª,En buen estado,0,1,1,0,No tiene,1,0,0
559,Piso en venta en Calle Avenida Xosé María Castroviejo,Cangas,195000,87.0,2.0,2.0,,En buen estado,0,0,0,1,No tiene,1,1,0
560,Piso en venta en Adina (Santa María),Adina (Santa María). Municipio de Sanxenxo,175000,60.0,2.0,1.0,,En buen estado,0,1,0,0,Individual,0,0,0
561,Piso en venta en O Castro,O Castro (Distrito Casco Urbano. Vigo),264000,143.0,4.0,2.0,,En buen estado,0,0,0,1,No tiene,1,1,0
562,Piso en venta en Teis,Teis (Vigo),165000,82.0,2.0,1.0,Planta: 3ª,En buen estado,Entre 20 y 40€,0,0,0,No tiene,1,0,0
563,Piso en venta en Chapela,Chapela (San Fausto). Municipio de Redondela,131000,64.0,2.0,1.0,,En buen estado,0,1,0,1,Electrica,0,0,0
564,"Piso en venta en Avenida de la Gran Vía, cerca de Calle de Zamora",A Salgueira-O Castaño (Distrito Casco Urbano. Vigo),399000,200.0,7.0,4.0,Planta: 8ª,A estrenar,Entre 60 y 80€,1,0,1,Gas natural,1,1,0
565,Piso en venta en Núcleo Urbano,Cangas,185000,87.0,2.0,2.0,,En buen estado,0,0,0,1,No tiene,1,1,0
566,"Piso en venta en Avenida de Eduardo Pondal, 50",Fernández Ladreda-Ciudad de Piedra (Pontevedra Capital),250000,100.0,3.0,2.0,,En buen estado,Entre 60 y 80€,0,0,1,No tiene,1,0,0
567,Piso en venta en Calle de Perfecto Feijóo,Zona Praza de Barcelos (Pontevedra Capital),85000,124.0,3.0,1.0,,En buen estado,0,0,0,0,No tiene,0,0,0
568,Piso en venta en Salceda de Caselas,Salceda de Caselas,105000,61.0,2.0,2.0,Planta: 2ª,En buen estado,44.00 euros.,1,0,0,Eléctrica por acumul,1,0,0
569,Piso en venta en Centro - Echegaray,Centro-Echegaray (Pontevedra Capital),215000,125.0,4.0,3.0,Planta: 1ª,En buen estado,Entre 10 y 20€,1,0,1,Central,0,0,0
570,Piso en venta en O Hío,Cangas,155000,53.0,2.0,1.0,,En buen estado,0,1,0,0,No tiene,1,1,0
571,"Piso en venta en Avenida de Benito Vigo, cerca de Calle de Serafín Pazo",A Estrada,240000,161.0,3.0,2.0,Planta: 2ª,A estrenar,50,1,0,1,Gas natural,1,0,0
572,Piso en venta en La Seca - los Salgueriños,Centro-Echegaray (Pontevedra Capital),99000,109.0,3.0,2.0,Planta: Bajo,En buen estado,0,0,1,0,No tiene,0,0,0
573,Piso en venta en Calle Avenida Xosé María Castroviejo,Cangas,235000,101.0,3.0,2.0,,En buen estado,0,0,0,1,No tiene,1,1,0
574,Piso en venta en Fernández Ladreda-Ciudad de Piedra,Fernández Ladreda-Ciudad de Piedra (Pontevedra Capital),180000,85.0,2.0,1.0,Planta: 2ª,En buen estado,0,1,0,1,No tiene,1,0,0
575,Piso en venta en Salceda de Caselas,Salceda de Caselas,119500,93.0,3.0,2.0,Planta: 2ª,En buen estado,58.00 euros.,1,0,0,Eléctrica,1,0,0
576,Piso en venta en Arenal-Centro,Camelias-Pi y Margall (Distrito Casco Urbano. Vigo),165000,101.0,3.0,2.0,Planta: 4ª,En buen estado,40.00 euros.,1,0,0,Eléctrica,1,0,0
577,"Piso en venta en Camino Deputación-O Rosal, nº 10",Calvario (O Rosal),100000,88.0,2.0,2.0,Planta: 1ª,En buen estado,0,1,1,1,No tiene,1,0,0
578,Piso en venta en Calle de Ecuador,Casablanca-Calvario (Distrito Casco Urbano. Vigo),380000,116.0,3.0,2.0,Planta: 6ª,En buen estado,0,1,0,1,Gas individual,0,0,0
579,Piso en venta en Hospital Provincial,Zona Praza de Barcelos (Pontevedra Capital),145000,85.0,3.0,1.0,Planta: 2ª,En buen estado,0,1,0,0,Gas,0,0,0
580,Piso en venta en Calle de Elio Antonio de Nebrija,Praza da Industria (Distrito Casco Urbano. Vigo),225000,106.0,4.0,2.0,Planta: 3ª,En buen estado,85.00 euros.,1,0,1,Gasóleo colectivo,1,0,0
581,Piso en venta en Salvaterra de Miño,Salvaterra de Miño,150000,109.0,3.0,2.0,Planta: 3ª,A estrenar,0,1,0,1,Propano,1,0,1
582,Piso en venta en Calle del Doctor Cadaval,Centro-Areal (Distrito Casco Urbano. Vigo),150000,88.0,2.0,2.0,Planta: 3ª,A reformar,58.00 euros.,0,0,1,No tiene,0,0,0
583,"Piso en venta en Avenida de la Gran Vía, cerca de Calle de Paraguay",Praza España-Zona Corte Inglés (Distrito Casco Urbano. Vigo),320000,134.0,4.0,2.0,,En buen estado,Más de 100€,0,0,0,Gas natural,1,1,0
584,Piso en venta en Calle del Consistorio,Sanxenxo,285000,97.0,2.0,2.0,,En buen estado,0,1,0,1,Individual,0,0,0
585,Apartamento en venta en A Cañiza,A Cañiza,435000,97.0,2.0,1.0,,En buen estado,Más de 100€,1,0,0,No tiene,0,1,0
586,Piso en venta en Calle Xeral,Silleda (Casco Urbano),50000,188.0,4.0,2.0,,En buen estado,0,1,0,0,No tiene,0,0,0
587,Piso en venta en Avenida Recinto Ferial,Silleda (Casco Urbano),32000,114.0,3.0,2.0,,En buen estado,0,0,0,0,No tiene,0,0,0
588,"Piso en venta en Rúa Cordón, 11",O Burgo-Campus Universitario (Pontevedra Capital),185000,110.0,3.0,2.0,Planta: 3ª,En buen estado,0,0,1,1,Gas,0,0,1
589,Piso en venta en Calle del Progreso,A Cañiza (Resto Parroquia),49000,118.0,2.0,1.0,,En buen estado,0,0,0,0,No tiene,0,0,0
590,Piso en venta en Avenida del Marqués de Valterra,Parroquias Rurales (Pontevedra Capital),90000,100.0,3.0,2.0,Planta: 4ª,En buen estado,0,1,0,1,No tiene,0,0,0
591,Piso en venta en Las Pistas,Vilagarcía de Arousa,275000,100.0,3.0,2.0,Planta: Bajo,En buen estado,Entre 60 y 80€,1,0,1,No tiene,0,1,1
592,Piso en venta en Campo da Torre-Mollabao,Campo da Torre-Mollabao (Pontevedra Capital),165000,90.0,3.0,2.0,Planta: 3ª,A reformar,0,0,1,0,Central,1,0,0
593,Piso en venta en Caldas de Reis,Caldas de Reis (Casco Urbano),135000,108.0,3.0,2.0,Planta: 1ª,En buen estado,0,1,1,1,Eléctrica,1,0,0
594,Piso en venta en Calle de Antonio Palacios,O Porriño,160000,110.0,3.0,2.0,Planta: 4ª,En buen estado,0,1,0,1,Gas natural,1,0,0
595,"Apartamento en venta en Calle de Tomás Alonso, 4, cerca de Calle de Pi i Margall",Berbés-Peritos (Distrito Casco Urbano. Vigo),218000,80.0,2.0,2.0,Planta: 2ª,En buen estado,35.00 euros. gastos de escalera,1,1,1,Gasóleo individual,1,0,1
596,Piso en venta en Núcleo Urbano,Cangas,165000,110.0,3.0,2.0,,En buen estado,Entre 40 y 60€,1,0,1,No tiene,1,1,0
597,"Piso en venta en Travesía de Vigo, cerca de Calle Pino",Casablanca-Calvario (Distrito Casco Urbano. Vigo),168000,80.0,3.0,1.0,Planta: 7ª,A reformar,Entre 20 y 40€,1,1,1,No tiene,0,0,0
598,"Piso en venta en Calle La Cal, 4, cerca de Calle Concepción Arenal",Camposancos (A Guarda),106000,60.0,3.0,1.0,,En buen estado,0,1,0,1,Central,1,1,0
599,Piso en venta en Centro,Salceda de Caselas,115000,90.0,3.0,2.0,Planta: 1ª,En buen estado,Incluidos,1,1,1,Electrica,1,0,1
600,"Piso en venta en Avenida de las Chancelas, 4, cerca de Calle de la Costa de Abaixo",Combarro (San Roque). Municipio de Poio,200000,83.0,2.0,2.0,,En buen estado,Entre 20 y 40€,0,0,1,No tiene,1,1,0
601,Piso en venta en Calle del Alcalde Vázquez Varela,Praza España-Zona Corte Inglés (Distrito Casco Urbano. Vigo),215000,68.0,2.0,2.0,Planta: 1ª,En buen estado,0,1,0,1,Gas individual,0,0,0
602,Piso en venta en Vilagarcía de Arousa,Vilagarcía de Arousa,129000,125.0,3.0,2.0,Planta: 1ª,Reformado,0,0,1,0,Eléctrica,0,0,0
603,Piso en venta en Praza España-Zona Corte Inglés,Praza España-Zona Corte Inglés (Distrito Casco Urbano. Vigo),275000,104.0,3.0,2.0,Planta: 1ª,Reformado,0,0,0,1,No tiene,0,1,0
604,Piso en venta en Calle Ponte Nova (Da),Campo da Torre-Mollabao (Pontevedra Capital),92000,82.0,3.0,1.0,Planta: Bajo,En buen estado,0,1,0,0,No tiene,0,0,0
